REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMort,Var,SE,CV_perc,n_sites,n_strat,ngrtot,MORT_TYPE
SEFCRI,2015,POR ASTR,Porites astreoides,1.1350269456681992,0.1017966034926403,0.3190557999670909,28.109975819055137,70,8,15199,Recent
SEFCRI,2015,POR PORI,Porites porites,0.5346084220467572,0.0540217344823544,0.23242576122786907,43.4758884527152,32,6,12872,Recent
SEFCRI,2015,PSE CLIV,Pseudodiploria clivosa,2.0850751879699247,0.9181027319237943,0.9581767748822732,45.95406345107273,13,6,13300,Recent
SEFCRI,2015,PSE STRI,Pseudodiploria strigosa,0.3109978850221111,0.09671968570009935,0.3109978869704734,100.0000006264873,10,5,10402,Recent
SEFCRI,2015,SID RADI,Siderastrea radians,9.46279824932938,0.06602498248545989,0.2569532690694164,2.7154047069282754,20,7,14166,Recent
SEFCRI,2015,SID SIDE,Siderastrea siderea,1.0362533491191126,0.12764085635445405,0.35726860533001503,34.47695543119047,80,8,15199,Recent
SEFCRI,2015,SOL BOUR,Solenastrea bournoni,1.804343423006415,0.5255107878958872,0.7249212287523985,40.17645529721429,38,8,15199,Recent
SEFCRI,2015,STE INTE,Stephanocoenia intersepta,1.8754797492922288,2.0466714194033946,1.4306192433360438,76.28017545249065,70,8,15199,Recent
SEFCRI,2016,ACR CERV,Acropora cervicornis,1.25,1.5625,1.25,100,4,1,6272,Recent
SEFCRI,2016,AGA AGAR,Agaricia agaricites,1.357609599619817,0,0,0,5,5,16834,Recent
SEFCRI,2016,AGA HUMI,Agaricia humilis,0,0,0,NA,1,1,2898,Recent
SEFCRI,2016,AGA LAMA,Agaricia lamarcki,0.42643007616269646,0.15315217799756053,0.39134662129314535,91.77275318259548,8,6,8228,Recent
SEFCRI,2016,AGA SPE.,Agaricia spp,0,0,0,NA,1,1,2898,Recent
SEFCRI,2016,COL NATA,Colpophyllia natans,0,0,0,NA,3,3,10203,Recent
SEFCRI,2016,DIC STOK,Dichocoenia stokesii,0,2.3211906216987852e-11,4.817873619864665e-6,Inf,5,4,16027,Recent
SEFCRI,2016,DIP LABY,Diploria labyrinthiformis,0,0,0,NA,1,1,1092,Recent
SEFCRI,2016,EUS FAST,Eusmilia fastigiata,0,5.637858961615447e-10,2.3744176047223554e-5,Inf,4,3,3252,Recent
SEFCRI,2016,HEL CUCU,Helioceris cucullata,0,0,0,NA,1,1,1033,Recent
SEFCRI,2016,MAD DECA,Madracis decactis,0.8133608815426997,0.06116449859721316,0.2473145741706565,30.406499720219582,22,6,8228,Recent
SEFCRI,2016,MAD SENA,Madracis senaria,0.6569575171712033,0,0,0,2,2,3931,Recent
SEFCRI,2016,MAN AREO,Manicina areolata,0,0,0,NA,1,1,2898,Recent
SEFCRI,2016,MEA DANA,Meandrina danae,0,3.3333333333333334e-9,5.773502691896258e-5,Inf,3,1,2898,Recent
SEFCRI,2016,MEA JACK,Meandrina jacksoni,0,0,0,NA,1,1,2898,Recent
SEFCRI,2016,MEA MEAN,Meandrina meandrites,0.7913069816749962,1.2990187194109926e-9,3.604190227236893e-5,0.004554730731185685,15,6,13206,Recent
SEFCRI,2016,MON CAVE,Montastraea cavernosa,2.1313855104259303,0.48119560432590913,0.6936826394871859,32.546089672372894,70,10,23862,Recent
SEFCRI,2016,MYC ALIC,Mycetophyllia aliciae,0,0,0,NA,2,2,4192,Recent
SEFCRI,2016,OCU DIFF,Oculina diffusa,0.8870784388025768,1.1573658397167826e-9,3.402007994871239e-5,0.003835070097592994,5,4,15834,Recent
SEFCRI,2016,ORB ANNU,Orbicella annularis,7.097591888466413,0,0,0,2,2,7364,Recent
SEFCRI,2016,ORB FAVE,Orbicella faveolata,2.44890234670704,1.5039768406587584e-9,3.87811402702236e-5,0.0015836131776496253,4,3,5284,Recent
SEFCRI,2016,ORB FRAN,Orbicella franksi,5.514472010178116,1.8527701447969878,1.3611649954347884,24.683505382246434,4,2,4192,Recent
SEFCRI,2016,POR ASTR,Porites astreoides,1.6782733113200086,1.2178612361917327,1.1035675041390685,65.75612545915314,69,10,23862,Recent
SEFCRI,2016,POR FURC,Porites furcata,15,0,0,0,1,1,1092,Recent
SEFCRI,2016,POR PORI,Porites porites,0.8446088639465388,0.1052789181516588,0.3244671295395865,38.41625909814324,22,7,14166,Recent
SEFCRI,2016,PSE CLIV,Pseudodiploria clivosa,7.5,56.25,7.5,100,2,1,6272,Recent
SEFCRI,2016,PSE STRI,Pseudodiploria strigosa,27.808677370030583,7.64615495445576e-11,8.744229499764836e-6,3.14442480791571e-5,4,3,10464,Recent
SEFCRI,2016,SCO SPE.,Scolymia spp,0,0,0,NA,1,1,6272,Recent
SEFCRI,2016,SID RADI,Siderastrea radians,0.9087247353955021,0.21779549191635045,0.4666856457149185,51.356106809594436,36,8,21951,Recent
SEFCRI,2016,SID SIDE,Siderastrea siderea,1.8501249284455847,0.3349481578835047,0.578747058639182,31.281512385513693,106,10,23862,Recent
SEFCRI,2016,SOL BOUR,Solenastrea bournoni,1.7583241522830213,1.4453453996450611,1.2022251867454206,68.37335341065767,20,8,21784,Recent
SEFCRI,2016,STE INTE,Stephanocoenia intersepta,2.160582908602773,0.7113106330716499,0.8433923363842298,39.0354072054399,82,10,23862,Recent
SEFCRI,2017,AGA LAMA,Agaricia lamarcki,0,0,0,NA,2,2,4192,Recent
SEFCRI,2017,COL NATA,Colpophyllia natans,0.1482889733840304,0,0,0,2,2,7364,Recent
SEFCRI,2017,DIP LABY,Diploria labyrinthiformis,0,0,0,NA,1,1,1092,Recent
SEFCRI,2017,EUS FAST,Eusmilia fastigiata,0,0,0,NA,1,1,1092,Recent
SEFCRI,2017,MAD DECA,Madracis decactis,0,5e-9,7.071067811865475e-5,Inf,2,1,1092,Recent
SEFCRI,2017,MEA MEAN,Meandrina meandrites,0,0,0,NA,3,3,10203,Recent
SEFCRI,2017,MON CAVE,Montastraea cavernosa,0.020321572130415366,2.3267840532873633e-10,1.525379970134446e-5,0.07506210446441812,7,6,13434,Recent
SEFCRI,2017,ORB FAVE,Orbicella faveolata,0,0,0,NA,1,1,1294,Recent
SEFCRI,2017,POR ASTR,Porites astreoides,1.8931833407771326,0.4635288743369926,0.6808295486661787,35.962156120954724,14,6,13434,Recent
SEFCRI,2017,POR DIVA,Porites divaricata,0,3.3333333333333334e-9,5.773502691896258e-5,Inf,3,1,6272,Recent
SEFCRI,2017,PSE CLIV,Pseudodiploria clivosa,0,0,0,NA,1,1,6272,Recent
SEFCRI,2017,PSE STRI,Pseudodiploria strigosa,0.049429657794676805,0.002443294696757218,0.04942969448375357,100.00007422482453,5,2,7364,Recent
SEFCRI,2017,SID RADI,Siderastrea radians,0.05907812161869725,1.2138492564335985e-9,3.484033949940211e-5,0.05897333656657038,8,4,9242,Recent
SEFCRI,2017,SID SIDE,Siderastrea siderea,0.3594871183837742,0.02465055122243753,0.15700494012112334,43.674705460102494,16,5,12589,Recent
SEFCRI,2017,SOL BOUR,Solenastrea bournoni,0,3.883185810447506e-9,6.231521331462732e-5,Inf,3,2,7117,Recent
SEFCRI,2017,STE INTE,Stephanocoenia intersepta,0.7081199444196318,0.021912663024523257,0.1480292640815432,20.90454664468836,17,6,13434,Recent
SEFCRI,2018,AGA AGAR,Agaricia agaricites,0.02634663853232519,0.00069414601114074965,0.026346650852447064,100.0000467616461,9,4,5687,Recent
SEFCRI,2018,AGA FRAG,Agaricia fragilis,2.684154958174288,9.454853196362042e-11,9.723606942057068e-6,3.6225952277624404e-4,9,7,12313,Recent
SEFCRI,2018,AGA LAMA,Agaricia lamarcki,0,0,0,NA,3,3,5058,Recent
SEFCRI,2018,COL NATA,Colpophyllia natans,0,0,0,NA,1,1,1294,Recent
SEFCRI,2018,DIC STOK,Dichocoenia stokesii,0,0,0,NA,4,4,10228,Recent
SEFCRI,2018,DIP LABY,Diploria labyrinthiformis,0,0,0,NA,1,1,866,Recent
SEFCRI,2018,EUS FAST,Eusmilia fastigiata,0,0,0,NA,3,3,8432,Recent
SEFCRI,2018,MAD AURE,Madracis auretenra,0,0,0,NA,1,1,2898,Recent
SEFCRI,2018,MAD DECA,Madracis decactis,0.2875628614533568,0.04404742964401191,0.209874795161334,72.9839709135653,31,10,23862,Recent
SEFCRI,2018,MAD FORM,Madracis formosa,0,0,0,NA,1,1,1092,Recent
SEFCRI,2018,MAN AREO,Manicina areolata,0,0,0,NA,1,1,1294,Recent
SEFCRI,2018,MEA MEAN,Meandrina meandrites,0.018977078494105272,3.601299507166379e-4,0.018977090154094697,100.00006144248931,27,9,22817,Recent
