REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
Tortugas,2006,SPGR_HR / PROT = 2,SPGR_HR,NA,2,2,16.386116152450093,3.6227698937091803,1.9033575317604363,11.615672158382946,Old
Tortugas,2007,CONT_LR / PROT = 1,CONT_LR,NA,1,1,20.27462121212121,NA,NA,NA,Old
Tortugas,2007,CONT_LR / PROT = 2,CONT_LR,NA,2,8,11.476623662285427,10.308816486920023,3.210734571234443,27.976299177480087,Old
Tortugas,2007,CONT_MR / PROT = 2,CONT_MR,NA,2,1,10.281385281385282,NA,NA,NA,Old
FLK,2007,FMLR / PROT = 0,FMLR,NA,0,14,9.964489758607407,4.596668971242191,2.143984368236436,21.516248399818416,Old
FLK,2007,FMLR / PROT = 1,FMLR,NA,1,4,10.985057119543043,6.810455854112131,2.609685010516045,23.756681300029534,Old
FLK,2007,FSLR / PROT = 0,FSLR,NA,0,9,8.325720750923168,2.17454082030352,1.474632435661009,17.71176910416434,Old
FLK,2007,FSLR / PROT = 1,FSLR,NA,1,1,27.164835164835168,NA,NA,NA,Old
FLK,2007,HRRF / PROT = 0,HRRF,NA,0,2,14.124999999999998,20.626736111111107,4.541666666666666,32.15339233038348,Old
FLK,2007,HRRF / PROT = 1,HRRF,NA,1,19,11.75894464521253,3.2211327511495034,1.7947514455070104,15.262861588839227,Old
SEFCRI,2007,INNR0 / PROT = 0,INNR0,0,0,3,15.309974747474747,2.8271975595602474,1.6814272388540181,10.982560497896024,Old
SEFCRI,2007,INNR1 / PROT = 0,INNR1,1,0,2,15.194711538461538,64.88767219859467,8.055288461538462,53.013763644992885,Old
FLK,2007,INPR / PROT = 0,INPR,NA,0,5,8.425580670589744,6.501276319170057,2.549760051293074,30.26212852240847,Old
FLK,2007,INPR / PROT = 1,INPR,NA,1,1,14.272727272727273,NA,NA,NA,Old
Tortugas,2007,ISOL_HR / PROT = 1,ISOL_HR,NA,1,1,10.725378787878787,NA,NA,NA,Old
Tortugas,2007,ISOL_MR / PROT = 2,ISOL_MR,NA,2,1,20,NA,NA,NA,Old
FLK,2007,MCPR / PROT = 0,MCPR,NA,0,18,16.478682935306043,5.229651731936872,2.28684318044261,13.877584691814077,Old
FLK,2007,MCPR / PROT = 1,MCPR,NA,1,5,19.627677329510433,6.363627025365667,2.5226230446433466,12.852376785563694,Old
SEFCRI,2007,MIDR0 / PROT = 0,MIDR0,0,0,3,7.388888888888888,8.280864197530866,2.877649074771082,38.94562657584923,Old
SEFCRI,2007,MIDR1 / PROT = 0,MIDR1,1,0,2,11.442307692307693,1.118713017751479,1.0576923076923075,9.243697478991594,Old
SEFCRI,2007,NEAR0 / PROT = 0,NEAR0,0,0,13,9.225337814457246,4.567152805694707,2.1370897982290558,23.165436770022357,Old
SEFCRI,2007,NEAR1 / PROT = 0,NEAR1,1,0,1,1.4285714285714284,NA,NA,NA,Old
SEFCRI,2007,OFFR0 / PROT = 0,OFFR0,0,0,3,8.595238095238095,12.430886243386245,3.525746196677555,41.01976184500203,Old
SEFCRI,2007,OFFR1 / PROT = 0,OFFR1,1,0,7,13.13552875695733,16.441525889228604,4.054815148589218,30.86906681576526,Old
FLK,2007,OFPR / PROT = 0,OFPR,NA,0,8,10.764369184808427,1.6559293397486052,1.286829180485353,11.95452476956507,Old
