REGION,YEAR,species_name,avDisPrev,SE_D
SEFCRI,2022,Dichocoenia stokesii,0,9.17981852133535e-5
SEFCRI,2022,Diploria labyrinthiformis,0,0
SEFCRI,2022,Eusmilia fastigiata,0,1.3340136975680133e-5
SEFCRI,2022,Helioceris cucullata,0,0
SEFCRI,2022,Madracis decactis,0,5.923915226815483e-5
SEFCRI,2022,Meandrina jacksoni,0,0
SEFCRI,2022,Meandrina meandrites,0,4.0693041826264184e-5
SEFCRI,2022,Montastraea cavernosa,0,4.7971510720141686e-5
SEFCRI,2022,Mycetophyllia aliciae,0,4.9029163694056e-5
SEFCRI,2022,Mycetophyllia ferox,0,0
SEFCRI,2022,Orbicella faveolata,0,0
SEFCRI,2022,Orbicella franksi,0,0
SEFCRI,2022,Porites astreoides,0.6783519048088616,2.035055714542946
SEFCRI,2022,Porites divaricata,0,1e-4
SEFCRI,2022,Porites porites,0.29009851057391656,0.7675285174209063
SEFCRI,2022,Pseudodiploria strigosa,0,1e-4
SEFCRI,2022,Siderastrea radians,0,4.6593862115772515e-5
SEFCRI,2022,Siderastrea siderea,0.031783592957735744,0.11010160560729099
SEFCRI,2022,Solenastrea bournoni,0,5.940654772759241e-5
SEFCRI,2022,Stephanocoenia intersepta,0.7921061663863967,2.8559793986941675
