"REGION","YEAR","avMort","Var","SE","CV_perc","n_sites","n_strat","ngrtot","MORT_TYPE"
"SEFCRI",2014,16.7148414215721,1.95163089714424,1.39700783718068,8.3578886687953,49,2,2160,"Old"
"SEFCRI",2016,7.20249558656105,2.44872711961479,1.56484092469963,21.7263711708401,93,10,25343,"Old"
"SEFCRI",2018,11.4429914944145,1.79912024877174,1.3413128825042,11.721697802178,70,10,25343,"Old"
"SEFCRI",2020,9.6925738217484,2.33537319057738,1.52819278580203,15.766635507826,90,13,89155,"Old"
"SEFCRI",2022,11.6161975595977,16.4267577383114,4.05299367607592,34.8908810760298,100,13,89155,"Old"
