REGION,YEAR,ANALYSIS_STRATUM,STRAT,PROT,NTOT,n,avSimp,avInvSimp,avShannon,Var_Simp,Var_InvSimp,Var_Shan,SE_Simp,SE_InvSimp,SE_Shan
SEFCRI,2014,MIDR0 / PROT = 0,MIDR0,0,1294,30,0.7193955444985627,4.2054502642327085,1.4560096580364317,4.4648495701225517e-4,1.9559930518241733,0.15962717462867942,0.02113019065252974,1.398568214934178,0.39953369648714165
SEFCRI,2014,MIDR1 / PROT = 0,MIDR1,0,866,19,0.788481456176382,5.08250491674722,1.7223600155754666,8.9073877712451e-5,0.7188809908795102,0.027870249264806732,0.009437895830769219,0.8478684985771734,0.1669438506348968
SEFCRI,2016,DPRC0 / PROT = 0,DPRC0,0,7618,16,0.5223277519513315,2.3039136684246535,0.865679886634667,0.0011970619556365724,0.6562207297690015,0.0991425712640702,0.034598583144929106,0.8100745211207432,0.3148691335524494
SEFCRI,2016,DPRC1 / PROT = 0,DPRC1,0,1045,6,0.6239101473922902,3.286389260857346,1.1686518638726244,0.006333728511048855,2.7221513718067247,0.2371525823223796,0.0795847253626527,1.6498943517106557,0.48698314377643465
SEFCRI,2016,INNR0 / PROT = 0,INNR0,0,845,7,0.5508568189180434,2.808797032326444,1.0059773958250589,0.007492485934218712,1.9036984005421298,0.26499188905998367,0.0865591470280219,1.3797457738808732,0.5147736289476994
SEFCRI,2016,INNR1 / PROT = 0,INNR1,0,1092,5,0.7497147707944294,4.1426301688992435,1.5336881098129103,6.800000501736133e-4,0.6365344621821123,0.0251639188805306,0.026076810582845694,0.7978310987810091,0.15863139311161142
SEFCRI,2016,MIDR0 / PROT = 0,MIDR0,0,1294,8,0.7651907909004186,4.448109766945383,1.5907242091324707,2.9923097427710094e-4,1.141297310969784,0.050304192939140714,0.01729829397013188,1.0683151739864898,0.22428596242105905
SEFCRI,2016,MIDR1 / PROT = 0,MIDR1,0,866,5,0.6852208958269564,3.4723478260869567,1.255548063975798,0.0025748991503722783,1.135562344045369,0.14034710757028895,0.050743464114822494,1.0656276760883086,0.37462929352933544
SEFCRI,2016,NEAR0 / PROT = 0,NEAR0,0,6272,18,0.559658660189907,2.4269793208301444,0.9508550405227665,6.743728121227305e-4,0.4622130742152221,0.06819765294769607,0.025968689072086996,0.6798625406765857,0.26114680344146673
SEFCRI,2016,NEAR1 / PROT = 0,NEAR1,0,1122,2,0.7401020408163266,3.870820668693009,1.4605805373727339,4.0409204498125857e-4,0.17927125580879733,0.03297388894720026,0.02010204081632655,0.42340436441869295,0.1815871387163757
SEFCRI,2016,OFFR0 / PROT = 0,OFFR0,0,1238,4,0.6560804980276134,3.702341137123746,1.2160554028081179,0.00596245322549458,6.073466739745637,0.37458356937622955,0.07721692318070295,2.4644404516534046,0.6120323270679658
SEFCRI,2016,OFFR1 / PROT = 0,OFFR1,0,3951,22,0.7115690742505232,4.051998675141916,1.456944173517261,9.821034440835286e-4,1.9184498966917753,0.15502007772753282,0.031338529705197224,1.3850811877618494,0.39372589161437277
SEFCRI,2018,DPRC0 / PROT = 0,DPRC0,0,7618,11,0.5856852991331013,2.597930528034196,1.0132854895827834,0.0010890120174277284,0.6436927901814073,0.10516903874444897,0.03300018208173598,0.8023046741615104,0.3242977624721592
SEFCRI,2018,DPRC1 / PROT = 0,DPRC1,0,1045,7,0.606722384640441,2.7883945142481728,1.1489991413650438,0.001981396082252672,1.0198967953840687,0.11761862393569049,0.044512875466011764,1.0098993986452653,0.3429557171643163
SEFCRI,2018,INNR0 / PROT = 0,INNR0,0,845,4,0.7238125160447151,3.634648029925489,1.4540301262238406,9.74139144209072e-5,0.06762844222308183,0.01852559125914648,0.009869848753699683,0.2600546908307593,0.13610874791557845
SEFCRI,2018,INNR1 / PROT = 0,INNR1,0,1092,5,0.7062295346062624,3.550538098323077,1.4069176265406795,0.0010044679282442824,0.597133808018062,0.06478653794461568,0.031693342017595466,0.772744335481058,0.25453199787966874
SEFCRI,2018,MIDR0 / PROT = 0,MIDR0,0,1294,4,0.7576041666666666,4.492857142857143,1.5619490756796353,0.0015751844618055566,2.3240136054421776,0.10513299958261729,0.039688593598231174,1.5244715823662236,0.3242421927859132
SEFCRI,2018,MIDR1 / PROT = 0,MIDR1,0,866,4,0.7176966124140287,3.9848852901484477,1.5625443865025899,0.0027195095330272783,2.7235858825929142,0.08740083423956657,0.052148916892177904,1.6503290225263914,0.29563632090723657
SEFCRI,2018,NEAR0 / PROT = 0,NEAR0,0,6272,3,0.7477366255144033,4.0321637426900585,1.4784800735064458,5.823976697319188e-4,0.38029650148763755,0.032596369068810124,0.02413291672657739,0.6166818478661729,0.18054464563871764
SEFCRI,2018,NEAR1 / PROT = 0,NEAR1,0,1122,7,0.7363968681154379,3.943396635762739,1.463979923571045,4.510580278715158e-4,0.6835257601102754,0.07865185617664293,0.021238126750528535,0.8267561672647356,0.280449382557072
SEFCRI,2018,OFFR0 / PROT = 0,OFFR0,0,1238,4,0.7320652621332466,3.7619256560433034,1.491542394713803,1.8626620100726802e-4,0.15154365469047346,0.030906490544885683,0.013647937610029876,0.38928608335062975,0.17580241905299734
SEFCRI,2018,OFFR1 / PROT = 0,OFFR1,0,3951,21,0.7306850945922693,4.049473783004466,1.4688683846352315,3.8823415297128174e-4,1.251292616817096,0.09418947289943849,0.019703658365168682,1.1186119151953888,0.3069030350117745
