REGION,YEAR,avDisPrev,avBlePrev,VarD,VarB,SE_D,SE_B,n_sites,n_strat,ngrtot
SEFCRI,2014,0.7391255685510071,17.03632927225471,4.587404560388498,155.71056319004572,2.14182271917834,12.478403871891858,49,2,2160
SEFCRI,2016,12.688077321002881,32.157909274508434,92.81714713240503,294.91096904896034,9.634165616824584,17.172972050549674,93,10,25343
SEFCRI,2018,3.901837353415896,27.914226972175516,11.875940883269568,185.12411829572787,3.44614870301175,13.606032423000023,70,10,25343
SEFCRI,2020,0.4020095713457836,19.80776248561227,1.3956886590737416,113.8487772733134,1.1813926777637238,10.669994248982208,90,13,89155
SEFCRI,2022,0.23132145286786812,12.072134696117448,0.5257912870260141,118.03972633722357,0.7251146716389167,10.864608890209697,100,13,89155
