REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avden,Var,SE,CV_perc
FLK,1999,FMLR / PROT = 0,FMLR,NA,0,38,1.381578947368421,0.024123118963839195,0.15531619028240165,11.241933772821453
FLK,1999,FMLR / PROT = 1,FMLR,NA,1,15,2.4266666666666667,0.15652063492063492,0.39562688852078154,16.3033058456366
FLK,1999,FSLR / PROT = 0,FSLR,NA,0,6,2.4,0.16866666666666663,0.410690475500305,17.112103145846046
FLK,1999,FSLR / PROT = 1,FSLR,NA,1,6,2.564864864864865,0.2152705137570002,0.4639725355632596,18.089550912371553
FLK,1999,HRRF / PROT = 0,HRRF,NA,0,42,2.182909682909683,0.04180533532955276,0.20446353056120486,9.366559329594786
FLK,1999,HRRF / PROT = 1,HRRF,NA,1,44,2.709758423394787,0.03993768905877298,0.19984416193317475,7.374980743959083
FLK,1999,OFPR / PROT = 0,OFPR,NA,0,5,7.852857142857143,3.4834367346938775,1.866396724893686,23.767104009925053
FLK,1999,OFPR / PROT = 1,OFPR,NA,1,4,11.05363676929942,12.346395421539397,3.5137437899681014,31.788124246376903
FLK,2000,FMLR / PROT = 0,FMLR,NA,0,14,3.317857142857143,0.5229287676609103,0.7231381387127291,21.79533679650852
FLK,2000,FMLR / PROT = 1,FMLR,NA,1,6,4.294444444444444,0.7918086419753086,0.8898363006617053,20.7206383077758
FLK,2000,FSLR / PROT = 0,FSLR,NA,0,4,2.8,0.6816666666666666,0.8256310717667223,29.486823991668658
FLK,2000,HRRF / PROT = 0,HRRF,NA,0,12,2.10625,0.06852391098484847,0.2617707221689402,12.428283545112887
FLK,2000,HRRF / PROT = 1,HRRF,NA,1,11,4.822643097643097,1.0531726425308072,1.026241999983828,21.27965887596718
FLK,2000,INPR / PROT = 0,INPR,NA,0,2,0.42500000000000004,6.249999999999997e-4,0.024999999999999994,5.882352941176468
FLK,2000,INPR / PROT = 1,INPR,NA,1,2,2.1,0.16000000000000003,0.4,19.047619047619047
FLK,2000,MCPR / PROT = 0,MCPR,NA,0,4,12.4921875,2.72564697265625,1.650953352659078,13.215886750491682
FLK,2000,MCPR / PROT = 1,MCPR,NA,1,2,9.9375,18.59765625,4.3125,43.39622641509434
FLK,2000,OFPR / PROT = 0,OFPR,NA,0,5,13.325,3.011875,1.7354754391808602,13.024205922558052
FLK,2000,OFPR / PROT = 1,OFPR,NA,1,6,18.92063492063492,44.5356142920131,6.67350090222614,35.271019869148226
FLK,2001,FMLR / PROT = 0,FMLR,NA,0,6,1.863888888888889,0.17241512345679014,0.4152290012231686,22.27756191361262
FLK,2001,FMLR / PROT = 1,FMLR,NA,1,3,1.827777777777778,0.2296604938271605,0.4792290619601033,26.21921919538559
FLK,2001,FSLR / PROT = 0,FSLR,NA,0,32,1.934946986607143,0.08008108809630671,0.28298602102631626,14.625001252490211
FLK,2001,FSLR / PROT = 1,FSLR,NA,1,10,4.319801387137453,1.903969228181832,1.3798439144272194,31.942299906097833
FLK,2001,HRRF / PROT = 0,HRRF,NA,0,29,4.833029645466926,1.3871792120379716,1.1777857241612208,24.36951168437191
FLK,2001,HRRF / PROT = 1,HRRF,NA,1,24,12.305250395027356,6.775016549024845,2.6028861959418905,21.152647141530224
FLK,2001,INPR / PROT = 0,INPR,NA,0,1,9.46875,NA,NA,NA
FLK,2001,MCPR / PROT = 0,MCPR,NA,0,7,22.491071428571427,119.93088329081631,10.951295963986011,48.69174862907635
FLK,2001,OFPR / PROT = 0,OFPR,NA,0,13,5.850961538461538,1.5268309637300028,1.2356500166835278,21.1187513122575
FLK,2001,OFPR / PROT = 1,OFPR,NA,1,1,7.5,NA,NA,NA
FLK,2002,FMLR / PROT = 0,FMLR,NA,0,6,4.210416666666667,2.3101501736111114,1.519917818045144,36.098988256391344
FLK,2002,FMLR / PROT = 1,FMLR,NA,1,2,4.275,8.265625,2.875,67.25146198830409
FLK,2002,HRRF / PROT = 0,HRRF,NA,0,17,4.035294117647059,0.16088262326989616,0.4011017617387091,9.93983957661524
FLK,2002,HRRF / PROT = 1,HRRF,NA,1,7,2.6142857142857143,0.1547278911564626,0.39335466332110847,15.046353241791033
FLK,2002,MCPR / PROT = 0,MCPR,NA,0,2,13.7,0.0024999999999999823,0.04999999999999982,0.36496350364963376
FLK,2002,MCPR / PROT = 1,MCPR,NA,1,1,4.25,NA,NA,NA
FLK,2002,OFPR / PROT = 0,OFPR,NA,0,3,3.1500000000000004,0.21333333333333337,0.46188021535170065,14.662863979419066
FLK,2005,FDLR / PROT = 0,FDLR,NA,0,3,3.6333333333333333,3.3619444444444446,1.8335605919751996,50.464970421335764
FLK,2005,FMLR / PROT = 0,FMLR,NA,0,62,1.8381720430107527,0.026628787986481894,0.16318329567232637,8.877476746140013
FLK,2005,FMLR / PROT = 1,FMLR,NA,1,8,2.2083333333333335,0.5777480158730158,0.7600973726260444,34.41950366608503
FLK,2005,FSLR / PROT = 0,FSLR,NA,0,15,2.0416666666666665,0.10394444444444445,0.3224041631934123,15.791224319677339
FLK,2005,FSLR / PROT = 1,FSLR,NA,1,8,1.2635416666666668,0.07547355530753967,0.2747245080212897,21.742417782393908
FLK,2005,HRRF / PROT = 0,HRRF,NA,0,44,3.581060606060606,0.1389362640677387,0.37274155130296205,10.408691510892954
FLK,2005,HRRF / PROT = 1,HRRF,NA,1,25,3.0446666666666666,0.20103608333333334,0.4483704755370645,14.726422450308666
FLK,2005,INPR / PROT = 0,INPR,NA,0,4,2.1875,0.2255729166666666,0.4749451722743022,21.7117793039681
