SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3069,26.2177,-80.0817,INNR1,LIRI,0,POR ASTR,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3069,26.2177,-80.0817,INNR1,LIRI,0,POR PORI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3069,26.2177,-80.0817,INNR1,LIRI,0,SID SIDE,0,1,3,0,33.3
NCRMP,SEFCRI,2016,Broward-Miami,3069,26.2177,-80.0817,INNR1,LIRI,0,STE INTE,0,3,3,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3071,26.0448,-80.0984,INNR0,LIRI,0,MON CAVE,1,0,1,100,0
NCRMP,SEFCRI,2016,Broward-Miami,3071,26.0448,-80.0984,INNR0,LIRI,0,POR ASTR,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3071,26.0448,-80.0984,INNR0,LIRI,0,SID SIDE,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3071,26.0448,-80.0984,INNR0,LIRI,0,SOL BOUR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3071,26.0448,-80.0984,INNR0,LIRI,0,STE INTE,0,0,4,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3072,25.9962,-80.1009,INNR1,LIRI,0,SID RADI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3072,25.9962,-80.1009,INNR1,LIRI,0,SID SIDE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3072,25.9962,-80.1009,INNR1,LIRI,0,SOL BOUR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3078,25.9275,-80.0999,INNR1,LIRI,0,DIC STOK,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3078,25.9275,-80.0999,INNR1,LIRI,0,MAD DECA,0,0,4,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3078,25.9275,-80.0999,INNR1,LIRI,0,POR ASTR,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3078,25.9275,-80.0999,INNR1,LIRI,0,SID SIDE,1,0,3,33.3,0
NCRMP,SEFCRI,2016,Broward-Miami,3078,25.9275,-80.0999,INNR1,LIRI,0,STE INTE,0,7,7,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3083,25.8377,-80.0995,INNR1,LIRI,0,DIC STOK,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3083,25.8377,-80.0995,INNR1,LIRI,0,MEA MEAN,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3083,25.8377,-80.0995,INNR1,LIRI,0,MON CAVE,1,0,1,100,0
NCRMP,SEFCRI,2016,Broward-Miami,3083,25.8377,-80.0995,INNR1,LIRI,0,SID SIDE,1,0,2,50,0
NCRMP,SEFCRI,2016,Broward-Miami,3083,25.8377,-80.0995,INNR1,LIRI,0,STE INTE,0,3,3,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3085,26.2308,-80.0694,NEAR1,PTCH,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3085,26.2308,-80.0694,NEAR1,PTCH,0,POR ASTR,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3085,26.2308,-80.0694,NEAR1,PTCH,0,SID SIDE,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3089,25.7697,-80.0883,NEAR0,APRD,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3089,25.7697,-80.0883,NEAR0,APRD,0,SID SIDE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3089,25.7697,-80.0883,NEAR0,APRD,0,STE INTE,0,2,4,0,50
NCRMP,SEFCRI,2016,Broward-Miami,3091,26.1952,-80.0795,MIDR0,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3091,26.1952,-80.0795,MIDR0,LIRM,0,ORB FRAN,1,0,1,100,0
NCRMP,SEFCRI,2016,Broward-Miami,3091,26.1952,-80.0795,MIDR0,LIRM,0,POR ASTR,0,0,4,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3091,26.1952,-80.0795,MIDR0,LIRM,0,POR PORI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3091,26.1952,-80.0795,MIDR0,LIRM,0,SID SIDE,0,2,2,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3091,26.1952,-80.0795,MIDR0,LIRM,0,STE INTE,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3094,26.1114,-80.0866,MIDR0,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3094,26.1114,-80.0866,MIDR0,LIRM,0,SID SIDE,0,1,2,0,50
NCRMP,SEFCRI,2016,Broward-Miami,3094,26.1114,-80.0866,MIDR0,LIRM,0,STE INTE,0,3,3,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3095,26.0635,-80.0939,MIDR0,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3095,26.0635,-80.0939,MIDR0,LIRM,0,ORB FRAN,0,0,1,0,0
