REGION,YEAR,STRAT_ANALYSIS,SPECIES_NAME,avCvr,Var,SE,CV_perc,CV,n_sites_present,n_sites,HABITAT_CD,DEPTH_STRAT
SEFCRI,2016,ALL_STRAT,Porites divaricata,0,1.2120637297243615e-10,1.1009376593269763e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2016,ALL_STRAT,Porites porites,0.0064958765734127785,4.2196523536246914e-5,0.00649588512338749,100.00013162156971,1.000001316215697,1,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2016,ALL_STRAT,Pseudodiploria strigosa,0,1.2120637297243615e-10,1.1009376593269763e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2016,ALL_STRAT,Siderastrea radians,0.018708321824566942,1.9134033658293207e-4,0.013832582426392119,73.93812526908631,0.7393812526908631,2,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2016,ALL_STRAT,Siderastrea siderea,0.6108864404138331,0.04761411688193534,0.21820659220549535,35.71966535346169,0.35719665353461694,28,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2016,ALL_STRAT,Solenastrea bournoni,0.009526440098984786,9.075318057773968e-5,0.009526446377203814,100.00006590309667,1.0000006590309667,1,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2016,ALL_STRAT,Stephanocoenia intersepta,0.19617614581904524,0.007204441621291227,0.08487898221168316,43.266719231998955,0.43266719231998957,11,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Acropora cervicornis,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Agaricia agaricites,0.01417282161471879,2.008690700407416e-4,0.014172828582916736,100.00004916591865,1.0000004916591865,1,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Dichocoenia stokesii,0.008542792881663576,7.297951586571879e-5,0.00854280491792472,100.0001408937488,1.000001408937488,1,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Diploria labyrinthiformis,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Eusmilia fastigiata,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Madracis auretenra,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Madracis decactis,0.03472372042588671,2.3983537728484186e-4,0.015486619298118032,44.599539185820305,0.4459953918582031,5,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Meandrina meandrites,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Montastraea cavernosa,0.2060850840750616,0.004348027632182368,0.06593957561421189,31.996287315095046,0.31996287315095046,16,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Mycetophyllia aliciae,0.023122755790553607,5.346619744094311e-4,0.023122758797544708,100.0000130044668,1.000000130044668,1,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Orbicella faveolata,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Orbicella franksi,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Porites astreoides,0.1411057691075842,0.0014492746292967046,0.038069339753884684,26.979293614040134,0.26979293614040134,15,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Porites divaricata,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Porites porites,0.029594867508689872,5.214379702118806e-4,0.022835016317311458,77.15870432806116,0.7715870432806116,2,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Pseudodiploria strigosa,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Siderastrea radians,0.02155117502156132,1.532843775738624e-4,0.012380806822411147,57.448407383933876,0.5744840738393387,3,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Siderastrea siderea,0.17088561387973455,0.0030648822855128864,0.05536137900660429,32.39674642569174,0.32396746425691736,13,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Solenastrea bournoni,0,2.08565889348445e-10,1.4441810459511127e-5,Inf,Inf,0,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2018,ALL_STRAT,Stephanocoenia intersepta,0.12270892702767379,0.0028610608482269374,0.05348888527747552,43.59005214462719,0.43590052144627184,9,77,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Acropora cervicornis,0.04444394593685154,0.0019752645448180553,0.044443948348656594,100.00000542662224,1.0000000542662224,1,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Agaricia agaricites,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Dichocoenia stokesii,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Diploria labyrinthiformis,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Eusmilia fastigiata,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Madracis auretenra,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Madracis decactis,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Meandrina meandrites,0.005231338679827268,2.7367148258488227e-5,0.005231361988859901,100.00044556535259,1.000004455653526,1,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Montastraea cavernosa,0.21926914335921122,0.008091575033964982,0.0899531824560142,41.02409535510934,0.4102409535510934,13,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Mycetophyllia aliciae,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Orbicella faveolata,0.06463322303852839,0.0018683404709806228,0.043224304169999346,66.87629385932523,0.6687629385932523,3,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Orbicella franksi,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Porites astreoides,0.06165958963923185,6.769303462487245e-4,0.02601788512252148,42.19600758738623,0.42196007587386225,7,98,ALL_HABS,ALL_DEPTHS
SEFCRI,2020,ALL_STRAT,Porites divaricata,0,2.4524377654451705e-10,1.5660261062463713e-5,Inf,Inf,0,98,ALL_HABS,ALL_DEPTHS
