REGION,YEAR,avSpr,Var,SE,n_sites,n_strat,ngrtot
SEFCRI,2014,4.918269980506823,0.06091321829316982,0.24680603374546947,49,2,2160
SEFCRI,2016,2.9306434926064906,0.024175718592757106,0.1554854288760111,96,10,25343
SEFCRI,2018,3.7323152067913936,0.046311084256735274,0.21520010282696259,72,10,25343
SEFCRI,2020,3.5147953670840772,0.044237109916606246,0.21032619883553796,91,13,89155
SEFCRI,2022,3.188674475217672,0.02638446670007029,0.16243296063321105,102,13,89155
