REGION,YEAR,dis_sites,ble_sites,total_sites,dis_prev,ble_prev
SEFCRI,2014,10,80,90,11.11111111111111,88.88888888888889
SEFCRI,2015,29,84,100,28.999999999999996,84
SEFCRI,2016,61,90,141,43.262411347517734,63.829787234042556
SEFCRI,2017,0,17,23,0,73.91304347826086
SEFCRI,2018,23,99,119,19.327731092436977,83.19327731092437
SEFCRI,2019,30,65,81,37.03703703703704,80.24691358024691
SEFCRI,2020,36,153,204,17.647058823529413,75
SEFCRI,2021,20,92,105,19.047619047619047,87.61904761904762
SEFCRI,2022,35,182,258,13.565891472868216,70.54263565891473
