"REGION","YEAR","avSpr","Var","SE","n_sites","n_strat","ngrtot"
"SEFCRI",2014,4.91826998050682,0.0609132182931698,0.246806033745469,49,2,2160
"SEFCRI",2016,2.93064349260649,0.0241757185927571,0.155485428876011,96,10,25343
"SEFCRI",2018,3.73231520679139,0.0463110842567353,0.215200102826963,72,10,25343
"SEFCRI",2020,3.51479536708408,0.0442371099166062,0.210326198835538,91,13,89155
"SEFCRI",2022,3.18867447521767,0.0263844667000703,0.162432960633211,102,13,89155
