REGION,YEAR,avCm2,avCm3,avMaxdiam,Var_cm2,Var_cm3,Var_maxdiam,SE_cm2,SE_cm3,SE_maxdiam,n_sites,n_strat,ngrtot
SEFCRI,2014,64.86234369936217,125.90762069475089,10.988131764338318,1629.1256377574473,6160.109614085318,4.81650958215395,40.36242854137307,78.48636578467192,2.1946547751648664,49,2,2160
SEFCRI,2016,70.4730652620916,94.67032971302982,11.018736472912089,1685.2250836989604,3408.0053329883394,7.300409376641493,41.05149307514844,58.378123753580326,2.701926974705551,108,10,25343
SEFCRI,2018,81.00182419934669,115.86179305341004,12.52721990290681,2879.6265448381596,10305.771138768665,24.10118832399983,53.66215188415537,101.51734402932667,4.909296112886228,70,10,25343
SEFCRI,2020,81.79486147138721,109.52497647310949,10.646897125972373,10028.910095497566,15287.709707962746,13.066768965884428,100.14444615403076,123.64347822656376,3.6147986065456577,90,13,89155
SEFCRI,2022,48.43204745255936,69.54985738535402,9.602806087154137,479.0654161061733,1204.9765787401532,4.922285312417118,21.887563046309502,34.712772559105,2.2186223906778544,100,13,89155
