REGION,YEAR,species_name,avBlePrev,SE_B
SEFCRI,2022,Agaricia fragilis,0,1e-4
SEFCRI,2022,Colpophyllia natans,0,0
SEFCRI,2022,Dichocoenia stokesii,7.608540613352031,15.217081226706494
SEFCRI,2022,Diploria labyrinthiformis,0,0
SEFCRI,2022,Eusmilia fastigiata,0,1.3340136975680133e-5
SEFCRI,2022,Helioceris cucullata,0,0
SEFCRI,2022,Madracis decactis,5.92503022974607,8.37925810857849
SEFCRI,2022,Meandrina jacksoni,0,0
SEFCRI,2022,Meandrina meandrites,0,4.0693041826264184e-5
SEFCRI,2022,Montastraea cavernosa,8.266092540715064,4.502240609365051
SEFCRI,2022,Mycetophyllia aliciae,0,4.9029163694056e-5
SEFCRI,2022,Mycetophyllia ferox,0,0
SEFCRI,2022,Orbicella faveolata,0,0
SEFCRI,2022,Orbicella franksi,100,0
SEFCRI,2022,Porites astreoides,18.719296405530503,20.087840717133158
SEFCRI,2022,Porites divaricata,22.14,37.143613179118695
SEFCRI,2022,Porites porites,15.418408953367182,23.76349669179778
SEFCRI,2022,Pseudodiploria strigosa,0,1e-4
SEFCRI,2022,Siderastrea radians,11.796053349628616,14.099694370118135
SEFCRI,2022,Siderastrea siderea,8.484996301972535,9.807956879834865
SEFCRI,2022,Solenastrea bournoni,14.032433535051336,28.064867070109415
SEFCRI,2022,Stephanocoenia intersepta,49.64610259648647,11.186106045104475
