"REGION","YEAR","species_name","avDisPrev","SE_D"
"SEFCRI",2020,"Stephanocoenia intersepta",0.185121949252118,0.667466681875041
"SEFCRI",2022,"Acropora cervicornis",0,9.13938812414658e-05
"SEFCRI",2022,"Agaricia agaricites",0,2.04536464365284e-05
"SEFCRI",2022,"Agaricia fragilis",0,1e-04
"SEFCRI",2022,"Colpophyllia natans",0,0
"SEFCRI",2022,"Dichocoenia stokesii",0,9.17981852133535e-05
"SEFCRI",2022,"Diploria labyrinthiformis",0,0
"SEFCRI",2022,"Eusmilia fastigiata",0,1.33401369756801e-05
"SEFCRI",2022,"Helioceris cucullata",0,0
"SEFCRI",2022,"Madracis decactis",0,5.92391522681548e-05
"SEFCRI",2022,"Meandrina jacksoni",0,0
"SEFCRI",2022,"Meandrina meandrites",0,4.06930418262642e-05
"SEFCRI",2022,"Montastraea cavernosa",0,4.79715107201417e-05
"SEFCRI",2022,"Mycetophyllia aliciae",0,4.9029163694056e-05
"SEFCRI",2022,"Mycetophyllia ferox",0,0
"SEFCRI",2022,"Orbicella faveolata",0,0
"SEFCRI",2022,"Orbicella franksi",0,0
"SEFCRI",2022,"Porites astreoides",0.678351904808862,2.03505571454295
"SEFCRI",2022,"Porites divaricata",0,1e-04
"SEFCRI",2022,"Porites porites",0.290098510573917,0.767528517420906
"SEFCRI",2022,"Pseudodiploria strigosa",0,1e-04
"SEFCRI",2022,"Siderastrea radians",0,4.65938621157725e-05
"SEFCRI",2022,"Siderastrea siderea",0.0317835929577357,0.110101605607291
"SEFCRI",2022,"Solenastrea bournoni",0,5.94065477275924e-05
"SEFCRI",2022,"Stephanocoenia intersepta",0.792106166386397,2.85597939869417
