"REGION","YEAR","SPECIES_CD","SPECIES_NAME","avMort","Var","SE","CV_perc","n_sites","n_strat","ngrtot","MORT_TYPE"
"SEFCRI",2016,"PSE CLIV","Pseudodiploria clivosa",0,0,0,NA,1,1,6272,"Recent"
"SEFCRI",2016,"PSE STRI","Pseudodiploria strigosa",95,0,0,0,2,1,3951,"Recent"
"SEFCRI",2016,"SID RADI","Siderastrea radians",0.998725347377857,0.503814518290938,0.709798928071139,71.0704829846072,27,7,22310,"Recent"
"SEFCRI",2016,"SID SIDE","Siderastrea siderea",2.85479896893717,1.41064363203578,1.1877051957602,41.6038119910902,85,10,25343,"Recent"
"SEFCRI",2016,"SOL BOUR","Solenastrea bournoni",2.57960010124019,3.70122868798871,1.92385776189112,74.5796901219762,16,6,21072,"Recent"
"SEFCRI",2016,"STE INTE","Stephanocoenia intersepta",1.24909198181897,0.16778801550385,0.409619354405832,32.79336993336,65,10,25343,"Recent"
"SEFCRI",2018,"AGA AGAR","Agaricia agaricites",0.0268562401263823,0.000491537885020354,0.0221706536895138,82.5530810909545,16,4,6963,"Recent"
"SEFCRI",2018,"AGA FRAG","Agaricia fragilis",2.93986835082725,0,0,0,7,6,11242,"Recent"
"SEFCRI",2018,"AGA LAMA","Agaricia lamarcki",0,0,0,NA,3,2,5245,"Recent"
"SEFCRI",2018,"COL NATA","Colpophyllia natans",0,0,0,NA,1,1,1294,"Recent"
"SEFCRI",2018,"DIC STOK","Dichocoenia stokesii",0,0,0,NA,5,4,10451,"Recent"
"SEFCRI",2018,"EUS FAST","Eusmilia fastigiata",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2018,"MAD AURE","Madracis auretenra",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2018,"MAD DECA","Madracis decactis",0.145041953850764,0.005727653269103,0.075681261016866,52.1788758408037,40,7,16685,"Recent"
"SEFCRI",2018,"MAN AREO","Manicina areolata",0,0,0,NA,1,1,1294,"Recent"
"SEFCRI",2018,"MEA MEAN","Meandrina meandrites",0,1.17113489704274e-10,1.08218986182774e-05,Inf,25,7,16934,"Recent"
"SEFCRI",2018,"MON CAVE","Montastraea cavernosa",0.432696487524497,0.170225971475694,0.412584502224324,95.3519416311337,71,10,25343,"Recent"
"SEFCRI",2018,"MUS ANGU","Mussa angulosa",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2018,"MYC ALIC","Mycetophyllia aliciae",0,0,0,NA,3,2,4817,"Recent"
"SEFCRI",2018,"MYC SPE.","Mycetophyllia spp",0,0,0,NA,1,1,7618,"Recent"
"SEFCRI",2018,"ORB FAVE","Orbicella faveolata",0.433075550267698,0,0,0,3,2,5043,"Recent"
"SEFCRI",2018,"ORB FRAN","Orbicella franksi",3.16666666666667,2.55454531565205,1.59829450216537,50.4724579631169,6,1,3951,"Recent"
"SEFCRI",2018,"POR ASTR","Porites astreoides",0.282060275872177,0.00874054614277508,0.0934908880200369,33.1457124655174,57,10,25343,"Recent"
"SEFCRI",2018,"POR FURC","Porites furcata",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2018,"POR PORI","Porites porites",0.189158345221113,0.0136499722222788,0.116833095577746,61.7647058823529,7,4,7010,"Recent"
"SEFCRI",2018,"SCO CUBE","Scolymia cubensis",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2018,"SID RADI","Siderastrea radians",0,0,0,NA,4,3,3461,"Recent"
"SEFCRI",2018,"SID SIDE","Siderastrea siderea",1.23802671396065,0.280433145714743,0.529559388279296,42.7744718516735,85,10,25343,"Recent"
"SEFCRI",2018,"SOL BOUR","Solenastrea bournoni",0.589968920801629,0,0,0,5,4,9331,"Recent"
"SEFCRI",2018,"STE INTE","Stephanocoenia intersepta",1.20986054663352,0.698126523193197,0.835539659856549,69.0608237603471,72,10,25343,"Recent"
"SEFCRI",2020,"ACR CERV","Acropora cervicornis",0.176470588235294,0.0311418685121107,0.176470588235294,100,5,1,24765,"Recent"
