REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMort,Var,SE,CV_perc,n_sites,n_strat,ngrtot,MORT_TYPE
SEFCRI,2015,POR PORI,Porites porites,10.291663966714221,5.23465854998006,2.2879376193375682,22.230978651628373,32,6,12872,Old
SEFCRI,2015,PSE CLIV,Pseudodiploria clivosa,12.575836466165415,49.39760449181577,7.028342940680667,55.887677607688616,13,6,13300,Old
SEFCRI,2015,PSE STRI,Pseudodiploria strigosa,5.087322950714606,1.364533093653995,1.1681323099948888,22.96163073018204,10,5,10402,Old
SEFCRI,2015,SID RADI,Siderastrea radians,2.1936502894253844,0.16618352313611298,0.40765613344596324,18.583460427174412,20,7,14166,Old
SEFCRI,2015,SID SIDE,Siderastrea siderea,11.750447813133178,3.518377435311897,1.875733839144535,15.96308386688101,80,8,15199,Old
SEFCRI,2015,SOL BOUR,Solenastrea bournoni,28.49080886384424,8.059175989124737,2.838868786880566,9.964156512534759,38,8,15199,Old
SEFCRI,2015,STE INTE,Stephanocoenia intersepta,13.904346203011182,3.83108817376226,1.9573165747426398,14.077012656076956,70,8,15199,Old
SEFCRI,2016,ACR CERV,Acropora cervicornis,38.4375,114.94140625,10.721072999005276,27.89222243643649,4,1,6272,Old
SEFCRI,2016,AGA AGAR,Agaricia agaricites,0.07759593679458239,0,0,0,5,5,16834,Old
SEFCRI,2016,AGA HUMI,Agaricia humilis,0,0,0,NA,1,1,2898,Old
SEFCRI,2016,AGA LAMA,Agaricia lamarcki,1.4528034354237562,0.6126087119902421,0.7826932425862907,53.87468280304509,8,6,8228,Old
SEFCRI,2016,AGA SPE.,Agaricia spp,0,0,0,NA,1,1,2898,Old
SEFCRI,2016,COL NATA,Colpophyllia natans,4.049789277663432,0,0,0,3,3,10203,Old
SEFCRI,2016,DIC STOK,Dichocoenia stokesii,0.17033755537530418,0.029014882771234814,0.17033755537530418,100,5,4,16027,Old
SEFCRI,2016,DIP LABY,Diploria labyrinthiformis,10,0,0,0,1,1,1092,Old
SEFCRI,2016,EUS FAST,Eusmilia fastigiata,0,5.637858961615447e-10,2.3744176047223554e-5,Inf,4,3,3252,Old
SEFCRI,2016,HEL CUCU,Helioceris cucullata,0,0,0,NA,1,1,1033,Old
SEFCRI,2016,MAD DECA,Madracis decactis,10.60460892345919,3.4239408129520186,1.850389367930982,17.448916610565497,22,6,8228,Old
SEFCRI,2016,MAD SENA,Madracis senaria,13.284787585856016,0,0,0,2,2,3931,Old
SEFCRI,2016,MAN AREO,Manicina areolata,0,0,0,NA,1,1,2898,Old
SEFCRI,2016,MEA DANA,Meandrina danae,0,3.3333333333333334e-9,5.773502691896258e-5,Inf,3,1,2898,Old
SEFCRI,2016,MEA JACK,Meandrina jacksoni,0,0,0,NA,1,1,2898,Old
SEFCRI,2016,MEA MEAN,Meandrina meandrites,10.115572467060428,9.15927988463678,3.0264302213394547,29.918526422449045,15,6,13206,Old
SEFCRI,2016,MON CAVE,Montastraea cavernosa,12.57092364309743,7.9750784908697065,2.8240181463421417,22.464682997997386,70,10,23862,Old
SEFCRI,2016,MYC ALIC,Mycetophyllia aliciae,0,0,0,NA,2,2,4192,Old
SEFCRI,2016,OCU DIFF,Oculina diffusa,1.5327775672603259,1.4467072996459782,1.202791461412151,78.47136382365059,5,4,15834,Old
SEFCRI,2016,ORB ANNU,Orbicella annularis,54.44866920152091,0,0,0,2,2,7364,Old
SEFCRI,2016,ORB FAVE,Orbicella faveolata,16.064534443603332,1.879971050823448,1.3711203633610902,8.535076868704719,4,3,5284,Old
SEFCRI,2016,ORB FRAN,Orbicella franksi,28.19934796437659,15.153012969946793,3.892687114314069,13.804174193075621,4,2,4192,Old
SEFCRI,2016,POR ASTR,Porites astreoides,3.8024788136999526,0.40601238267823914,0.6371910095711012,16.757253381014653,69,10,23862,Old
SEFCRI,2016,POR FURC,Porites furcata,0,0,0,NA,1,1,1092,Old
SEFCRI,2016,POR PORI,Porites porites,9.48658858456084,5.54134534530915,2.3540062330650593,24.81404365839306,22,7,14166,Old
SEFCRI,2016,PSE CLIV,Pseudodiploria clivosa,5,25,5,100,2,1,6272,Old
SEFCRI,2016,PSE STRI,Pseudodiploria strigosa,34.464831804281346,7.64615495445576e-11,8.744229499764836e-6,2.5371455602689454e-5,4,3,10464,Old
SEFCRI,2016,SCO SPE.,Scolymia spp,0,0,0,NA,1,1,6272,Old
SEFCRI,2016,SID RADI,Siderastrea radians,8.440473478808862,15.058445782664247,3.8805213287217284,45.975161683339074,36,8,21951,Old
SEFCRI,2016,SID SIDE,Siderastrea siderea,7.95390365432954,2.6521470549699853,1.6285413887801516,20.47474371774279,106,10,23862,Old
SEFCRI,2016,SOL BOUR,Solenastrea bournoni,6.1568505937079205,0.7740630472762005,0.8798085287585024,14.289911950399365,20,8,21784,Old
SEFCRI,2016,STE INTE,Stephanocoenia intersepta,5.126483779749432,0.7075796388500665,0.8411775311134186,16.40846957199449,82,10,23862,Old
SEFCRI,2017,AGA LAMA,Agaricia lamarcki,25.739503816793892,0,0,0,2,2,4192,Old
SEFCRI,2017,COL NATA,Colpophyllia natans,0.2965779467680608,0,0,0,2,2,7364,Old
SEFCRI,2017,DIP LABY,Diploria labyrinthiformis,0,0,0,NA,1,1,1092,Old
SEFCRI,2017,EUS FAST,Eusmilia fastigiata,5,0,0,0,1,1,1092,Old
SEFCRI,2017,MAD DECA,Madracis decactis,15.833333333333334,34.027777777777786,5.833333333333334,36.8421052631579,2,1,1092,Old
SEFCRI,2017,MEA MEAN,Meandrina meandrites,0,0,0,NA,3,3,10203,Old
SEFCRI,2017,MON CAVE,Montastraea cavernosa,6.527839809438737,4.653568106574727,2.1572130415364,33.04635384001369,7,6,13434,Old
SEFCRI,2017,ORB FAVE,Orbicella faveolata,10,0,0,0,1,1,1294,Old
SEFCRI,2017,POR ASTR,Porites astreoides,6.250029154880651,1.4361488926780719,1.1983942976658692,19.174219319121775,14,6,13434,Old
SEFCRI,2017,POR DIVA,Porites divaricata,15,25,5,33.33333333333333,3,1,6272,Old
SEFCRI,2017,PSE CLIV,Pseudodiploria clivosa,0,0,0,NA,1,1,6272,Old
SEFCRI,2017,PSE STRI,Pseudodiploria strigosa,6.634980988593155,4.594905232112652,2.143573006014176,32.30714616514202,5,2,7364,Old
SEFCRI,2017,SID RADI,Siderastrea radians,15.665196927072063,101.63140049194851,10.081240027494063,64.35437788893675,8,4,9242,Old
SEFCRI,2017,SID SIDE,Siderastrea siderea,6.558748378213785,2.659152253278657,1.6306907288871968,24.862834108773974,16,5,12589,Old
SEFCRI,2017,SOL BOUR,Solenastrea bournoni,31.438105943515527,698.9734458805509,26.438105943515524,84.0957339828823,3,2,7117,Old
SEFCRI,2017,STE INTE,Stephanocoenia intersepta,10.817770830231748,9.31463868020011,3.0519892988344686,28.212737603067584,17,6,13434,Old
SEFCRI,2018,AGA AGAR,Agaricia agaricites,11.002520368090968,1.762694996845877,1.327665242764861,12.066919199852592,9,4,5687,Old
SEFCRI,2018,AGA FRAG,Agaricia fragilis,3.4440022740193297,0.017697015744209937,0.13303013096366528,3.862660950232539,9,7,12313,Old
SEFCRI,2018,AGA LAMA,Agaricia lamarcki,10.812178726769474,0,0,0,3,3,5058,Old
SEFCRI,2018,COL NATA,Colpophyllia natans,10,0,0,0,1,1,1294,Old
SEFCRI,2018,DIC STOK,Dichocoenia stokesii,41.01315017598749,0,0,0,4,4,10228,Old
