REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMaxdiam,Var_maxdiam,SE_maxdiam,n_sites,n_strat,ngrtot
SEFCRI,2016,ACR CERV,Acropora cervicornis,28.50892857142857,189.92889030612244,13.781469090997609,4,1,6272
SEFCRI,2016,AGA AGAR,Agaricia agaricites,11.764190032077938,0,0,5,5,16834
SEFCRI,2016,AGA HUMI,Agaricia humilis,9,0,0,1,1,2898
SEFCRI,2016,AGA LAMA,Agaricia lamarcki,22.181028196402526,8.619404577702706,2.9358822486098974,8,6,8228
SEFCRI,2016,AGA SPE.,Agaricia spp,12,0,0,1,1,2898
SEFCRI,2016,COL NATA,Colpophyllia natans,12.670685092619816,0,0,3,3,10203
SEFCRI,2016,DIC STOK,Dichocoenia stokesii,8.734011355837024,0.3922812150670947,0.6263235705824065,5,4,16027
SEFCRI,2016,DIP LABY,Diploria labyrinthiformis,13,0,0,1,1,1092
SEFCRI,2016,EUS FAST,Eusmilia fastigiata,6.53259532595326,1.1275717923230894e-9,3.3579335793357934e-5,4,3,3252
SEFCRI,2016,HEL CUCU,Helioceris cucullata,21,0,0,1,1,1033
SEFCRI,2016,MAD DECA,Madracis decactis,11.33714146815751,12.083289205446022,3.4761025884524788,22,6,8228
SEFCRI,2016,MAD SENA,Madracis senaria,14.180742813533453,0,0,2,2,3931
SEFCRI,2016,MAN AREO,Manicina areolata,5,0,0,1,1,2898
SEFCRI,2016,MEA DANA,Meandrina danae,6.166666666666667,1.0833333333333335,1.0408329997330665,3,1,2898
SEFCRI,2016,MEA JACK,Meandrina jacksoni,6,0,0,1,1,2898
SEFCRI,2016,MEA MEAN,Meandrina meandrites,13.526230501287293,20.06770493521324,4.479699201421145,15,6,13206
SEFCRI,2016,MON CAVE,Montastraea cavernosa,24.911259780035707,57.88599676992487,7.608284745586542,70,10,23862
SEFCRI,2016,MYC ALIC,Mycetophyllia aliciae,7.382633587786259,0,0,2,2,4192
SEFCRI,2016,OCU DIFF,Oculina diffusa,8.057370215990906,5.671092614612235,2.3814055964098673,5,4,15834
SEFCRI,2016,ORB ANNU,Orbicella annularis,12.982256020278832,0,0,2,2,7364
SEFCRI,2016,ORB FAVE,Orbicella faveolata,25.06472369417108,0.6015907362635033,0.7756228054044719,4,3,5284
SEFCRI,2016,ORB FRAN,Orbicella franksi,18.585241730279897,24.615374780874273,4.961388392463774,4,2,4192
SEFCRI,2016,POR ASTR,Porites astreoides,12.272974193012884,2.63621803751427,1.6236434453149713,69,10,23862
SEFCRI,2016,POR FURC,Porites furcata,6,0,0,1,1,1092
SEFCRI,2016,POR PORI,Porites porites,7.7085676580858715,0.7654211108374114,0.8748834841494103,22,7,14166
SEFCRI,2016,PSE CLIV,Pseudodiploria clivosa,36.5,0.5,0.7071067811865476,2,1,6272
SEFCRI,2016,PSE STRI,Pseudodiploria strigosa,36.234613914373085,7.3479549112319855,2.710711144927099,4,3,10464
SEFCRI,2016,SCO SPE.,Scolymia spp,5,0,0,1,1,6272
